Category,Sub-category,Flavor,Sub-flavor
beverage,beverage,champagne sparkling,
beverage,beverage,ion drink,
beverage,beverage,soda,
chocolate,cocoa,baker's chocolate,
chocolate,cocoa,dark chocolate,
chocolate,cocoa,bittersweet chocolate,
chocolate,cocoa,milk chocolate,
chocolate,cocoa,white chocolate,
chocolate,cocoa,cacao nibs,
chocolate,cocoa,rum chocolate,
chocolate,cocoa,swiss chocolate,
chocolate,cocoa,blueberry chocolate,
chocolate,cocoa,almond chocolate,
chocolate,cocoa,chocolate,
chocolate,cocoa,cacao,
fermented,fermented,port wine,
fermented,fermented,rose wine,
fermented,fermented,whiskey,
fermented,fermented,winey,
fermented,fermented,rum,
floral,yellow flower,freesia,
floral,white flower,magnolia,
floral,white flower,honeysuckle,
floral,white flower,jasmine,
floral,white flower,orange blossom,
floral,white flower,acacia,
floral,white flower,gardenia,
floral,white flower,osmanthus,
floral,white flower,elderflower,
floral,white flower,coffee blossom,
floral,white flower,lily,
floral,red flower,rose,rosewater
floral,red flower,rose,rose tea
floral,red flower,hibiscus,
floral,red flower,tea rose,
floral,purple flower,lavender,
floral,purple flower,purple flower tea,
floral,purple flower,violet,
floral,purple flower,lilac,
floral,pink flower,pink acacia,
floral,floral,flower,
floral,floral,flower tea,
floral,floral,perfume,
floral,floral,bouquet,
floral,floral,chrysanthemum,
fruit,tropical fruit,lychee,
fruit,tropical fruit,tamarind,
fruit,tropical fruit,passion fruit,
fruit,tropical fruit,pineapple,
fruit,tropical fruit,mango,
fruit,tropical fruit,papaya,
fruit,tropical fruit,kiwi,
fruit,tropical fruit,banana,
fruit,tropical fruit,coconut,
fruit,tropical fruit,guava,
fruit,tropical fruit,tropical,
fruit,tropical fruit,tropical candy,
fruit,tropical fruit,green mango,
fruit,tropical fruit,green papaya,
fruit,tropical fruit,pineapple juice,
fruit,tropical fruit,mangosteen,
fruit,tropical fruit,apple mango,
fruit,tropical fruit,guyabano,
fruit,tropical fruit,lychee juice,
fruit,tropical fruit,bubblegum,
fruit,tropical fruit,tropical juice,
fruit,tropical fruit,starfruit,
fruit,stone fruit,peach,nectarine
fruit,stone fruit,peach,peach juice
fruit,stone fruit,peach,peach iced tea
fruit,stone fruit,peach,white peach
fruit,stone fruit,peach,apricot
fruit,stone fruit,peach,apricot jam
fruit,stone fruit,peach,peach tea
fruit,stone fruit,peach,yellow peach
fruit,stone fruit,peach,peach jam
fruit,stone fruit,plum,plum juice
fruit,stone fruit,plum,plum jelly
fruit,stone fruit,cherry,black cherry
fruit,stone fruit,cherry,maraschino cherry
fruit,stone fruit,cherry,acerola
fruit,stone fruit,cherry,dark cherry
fruit,stone fruit,cherry,red cherry
fruit,stone fruit,quince,
fruit,melon,watermelon,
fruit,melon,honeydew,
fruit,melon,cantaloupe,
fruit,grape,red grape,
fruit,grape,concord grape,
fruit,grape,red wine,
fruit,grape,grape jelly,
fruit,grape,purple grape,
fruit,grape,campbell grape,
fruit,grape,green grape,champagne
fruit,grape,green grape,muscat
fruit,grape,green grape,shine muscat
fruit,grape,green grape,white wine
fruit,grape,green grape,white grape
fruit,fruit,pickled fruit,
fruit,fruit,fruit candy,
fruit,fruit,fruit tea,
fruit,fruit,fruit cocktail,
fruit,dried fruit,golden raisin,
fruit,dried fruit,raisin,
fruit,dried fruit,dried fig,
fruit,dried fruit,dried date,
fruit,dried fruit,prune,
fruit,dried fruit,cascara,
fruit,dried fruit,dried apricot,
fruit,dried fruit,dried fruit,
fruit,dried fruit,dried plum,
fruit,dried fruit,fig,
fruit,citrus fruit,lemon,lemon rosso
