category_eng,subcategory_eng,flavor_eng,subflavor_eng,synonym_eng,category_kor,subcategory_kor,flavor_kor,subflavor_kor,synonym_kor
beverage,beverage,champagne sparkling,,,음료,음료,샴페인 스파클링,,
beverage,beverage,ion drink,,,음료,음료,이온 음료,,
beverage,beverage,soda,,,음료,음료,소다,,
beverage,beverage,juice,,,음료,음료,주스,,
beverage,beverage,sparkling,,,음료,음료,스파클링,,
chocolate,cocoa,baker's chocolate,,,초콜릿,코코아,제과용 초콜릿,,
chocolate,cocoa,dark chocolate,,,초콜릿,코코아,다크 초콜릿,,
chocolate,cocoa,bittersweet chocolate,,,초콜릿,코코아,비터스윗 초콜릿,,
chocolate,cocoa,milk chocolate,,,초콜릿,코코아,밀크 초콜릿,,
chocolate,cocoa,white chocolate,,,초콜릿,코코아,화이트 초콜릿,,
chocolate,cocoa,cacao nibs,,,초콜릿,코코아,카카오닙스,,
chocolate,cocoa,rum chocolate,,,초콜릿,코코아,럼 초콜릿,,
chocolate,cocoa,swiss chocolate,,,초콜릿,코코아,스위스 초콜릿,,
chocolate,cocoa,blueberry chocolate,,,초콜릿,코코아,블루베리 초콜릿,,
chocolate,cocoa,almond chocolate,,,초콜릿,코코아,아몬드 초콜릿,,
chocolate,cocoa,cacao,,,초콜릿,코코아,카카오,,
chocolate,cocoa,mocha,,,초콜릿,코코아,모카,,
alcohol/fermented,fermented,port wine,,,알코올/발효된,발효된,포트 와인,,
alcohol/fermented,fermented,rose wine,,,알코올/발효된,발효된,로제 와인,,
alcohol/fermented,fermented,whiskey,,,알코올/발효된,발효된,위스키,,
alcohol/fermented,fermented,winey,,,알코올/발효된,발효된,와이니,,
alcohol/fermented,fermented,rum,,,알코올/발효된,발효된,럼,,
alcohol/fermented,fermented,greek yogurt,,,알코올/발효된,발효된,그릭 요거트,,
alcohol/fermented,fermented,sake,,,알코올/발효된,발효된,사케,,
floral,floral,flower,,,꽃 향,꽃 향,꽃,,
floral,floral,flower tea,,,꽃 향,꽃 향,꽃 차,,
floral,floral,perfume,,,꽃 향,꽃 향,퍼퓸,,
floral,floral,bouquet,,,꽃 향,꽃 향,꽃다발,,
floral,floral,chrysanthemum,,,꽃 향,꽃 향,국화,,
floral,pink flower,pink acacia,,,꽃 향,분홍 꽃,핑크 아카시아,,
floral,purple flower,lavender,,,꽃 향,보라 꽃,라벤더,,
floral,purple flower,purple flower tea,,,꽃 향,보라 꽃,보라 꽃 차,,
floral,purple flower,violet,,,꽃 향,보라 꽃,바이올렛,,
floral,purple flower,lilac,,,꽃 향,보라 꽃,라일락,,
floral,red flower,rose,rosewater,,꽃 향,빨간 꽃,장미,장미수,로즈 워터
